category,name,stack,availableWeights,defaultWeight,isGoogleFont
"google","Abel","""Abel"", sans-serif","400","400","true"
"google","Abril Fatface","""Abril Fatface"", display","400","400","true"
"google","Actor","""Actor"", sans-serif","400","400","true"
"google","Alata","""Alata"", sans-serif","400","400","true"
"google","Albert Sans","""Albert Sans"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Alegreya","""Alegreya"", serif","400|500|600|700|800|900","400","true"
"google","Alegreya Sans","""Alegreya Sans"", sans-serif","100|300|400|500|700|800|900","400","true"
"google","Alfa Slab One","""Alfa Slab One"", display","400","400","true"
"google","Alice","""Alice"", serif","400","400","true"
"google","Allerta Stencil","""Allerta Stencil"", sans-serif","400","400","true"
"google","Amaranth","""Amaranth"", sans-serif","400|700","400","true"
"google","Amatic SC","""Amatic SC"", handwriting","400|700","400","true"
"google","Amiri","""Amiri"", serif","400|700","400","true"
"google","Antic Slab","""Antic Slab"", serif","400","400","true"
"google","Anton","""Anton"", sans-serif","400","400","true"
"google","Archivo","""Archivo"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Arvo","""Arvo"", serif","400|700","400","true"
"google","Asap","""Asap"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Asap Condensed","""Asap Condensed"", sans-serif","200|300|400|500|600|700|800|900","400","true"
"google","Assistant","""Assistant"", sans-serif","200|300|400|500|600|700|800","400","true"
"google","Baloo 2","""Baloo 2"", display","400|500|600|700|800","400","true"
"google","Balsamiq Sans","""Balsamiq Sans"", display","400|700","400","true"
"google","Bangers","""Bangers"", display","400","400","true"
"google","Barlow","""Barlow"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Barlow Condensed","""Barlow Condensed"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Be Vietnam Pro","""Be Vietnam Pro"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Bebas Neue","""Bebas Neue"", sans-serif","400","400","true"
"google","BenchNine","""BenchNine"", sans-serif","300|400|700","400","true"
"google","Bitter","""Bitter"", serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Bodoni Moda","""Bodoni Moda"", serif","400|500|600|700|800|900","400","true"
"google","Cabin","""Cabin"", sans-serif","400|500|600|700","400","true"
"google","Cabin Condensed","""Cabin Condensed"", sans-serif","400|500|600|700","400","true"
"google","Cabin Sketch","""Cabin Sketch"", display","400|700","400","true"
"google","Cairo","""Cairo"", sans-serif","200|300|400|500|600|700|800|900","400","true"
"google","Candal","""Candal"", sans-serif","400","400","true"
"google","Cantarell","""Cantarell"", sans-serif","400|700","400","true"
"google","Cardo","""Cardo"", serif","400|700","400","true"
"google","Carter One","""Carter One"", display","400","400","true"
"google","Catamaran","""Catamaran"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Caveat","""Caveat"", handwriting","400|500|600|700","400","true"
"google","Chewy","""Chewy"", display","400","400","true"
"google","Chivo","""Chivo"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Cinzel","""Cinzel"", serif","400|500|600|700|800|900","400","true"
"google","Cinzel Decorative","""Cinzel Decorative"", display","400|700|900","400","true"
"google","Comfortaa","""Comfortaa"", display","300|400|500|600|700","400","true"
"google","Cormorant Garamond","""Cormorant Garamond"", serif","300|400|500|600|700","400","true"
"google","Courier Prime","""Courier Prime"", monospace","400|700","400","true"
"google","Cousine","""Cousine"", monospace","400|700","400","true"
"google","Crimson Text","""Crimson Text"", serif","400|600|700","400","true"
"google","Dancing Script","""Dancing Script"", handwriting","400|500|600|700","400","true"
"google","Days One","""Days One"", sans-serif","400","400","true"
"google","Didact Gothic","""Didact Gothic"", sans-serif","400","400","true"
"google","DM Sans","""DM Sans"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Domine","""Domine"", serif","400|500|600|700","400","true"
"google","Dosis","""Dosis"", sans-serif","200|300|400|500|600|700|800","400","true"
"google","EB Garamond","""EB Garamond"", serif","400|500|600|700|800","400","true"
"google","Epilogue","""Epilogue"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Exo 2","""Exo 2"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Fira Code","""Fira Code"", monospace","300|400|500|600|700","400","true"
"google","Fira Sans","""Fira Sans"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Fira Sans Condensed","""Fira Sans Condensed"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Fjalla One","""Fjalla One"", sans-serif","400","400","true"
"google","Forum","""Forum"", display","400","400","true"
"google","Francois One","""Francois One"", sans-serif","400","400","true"
"google","Frank Ruhl Libre","""Frank Ruhl Libre"", serif","300|400|500|600|700|800|900","400","true"
"google","Fraunces","""Fraunces"", serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Fredoka","""Fredoka"", sans-serif","300|400|500|600|700","400","true"
"google","Glegoo","""Glegoo"", serif","400|700","400","true"
"google","Golos Text","""Golos Text"", sans-serif","400|500|600|700|800|900","400","true"
"google","Gothic A1","""Gothic A1"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Great Vibes","""Great Vibes"", handwriting","400","400","true"
"google","Gudea","""Gudea"", sans-serif","400|700","400","true"
"google","Handlee","""Handlee"", handwriting","400","400","true"
"google","Hedvig Letters Sans","""Hedvig Letters Sans"", sans-serif","400","400","true"
"google","Heebo","""Heebo"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Hind","""Hind"", sans-serif","300|400|500|600|700","400","true"
"google","Hind Siliguri","""Hind Siliguri"", sans-serif","300|400|500|600|700","400","true"
"google","IBM Plex Mono","""IBM Plex Mono"", monospace","100|200|300|400|500|600|700","400","true"
"google","IBM Plex Sans","""IBM Plex Sans"", sans-serif","100|200|300|400|500|600|700","400","true"
"google","IBM Plex Serif","""IBM Plex Serif"", serif","100|200|300|400|500|600|700","400","true"
"google","Inconsolata","""Inconsolata"", monospace","200|300|400|500|600|700|800|900","400","true"
"google","Indie Flower","""Indie Flower"", handwriting","400","400","true"
"google","Inter","""Inter"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Inter Tight","""Inter Tight"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
